Source Target Weight
飞将 刘焉 7
飞将 刘备 120
飞将 翼德 4
飞将 云长 15
飞将 张飞 28
飞将 青州 4
飞将 关公 76
飞将 广宗 4
飞将 操 4
飞将 汝南 10
飞将 曹操 27
飞将 张辽 4
飞将 徐州 4
飞将 简雍 9
飞将 皇叔 4
飞将 荆州 11
飞将 刘表 4
飞将 关平 5
飞将 周瑜 13
飞将 孔明 16
飞将 巴丘 5
飞将 公瑾 10
飞将 孙权 8
飞将 鲁肃 13
飞将 凤雏 4
飞将 庞统 7
飞将 许昌 5
飞将 马腾 21
飞将 马岱 6
飞将 马休 4
洛阳 刘焉 18
洛阳 江夏 17
洛阳 刘备 815
洛阳 公孙瓒 61
洛阳 翼德 26
洛阳 涿郡 7
洛阳 云长 100
洛阳 张飞 219
洛阳 白马 5
洛阳 关羽 19
洛阳 青州 15
洛阳 关公 592
洛阳 广宗 11
洛阳 孟德 16
洛阳 操 115
洛阳 南阳 66
洛阳 汝南 34
洛阳 曹操 513
洛阳 卓 35
洛阳 李儒 95
洛阳 陈留王 59
洛阳 王允 14
洛阳 废帝 9
洛阳 荆州 138
洛阳 奉先 11
洛阳 冀州 18
洛阳 东郡 23
洛阳 阳平 4
洛阳 巨鹿 4
洛阳 夏侯渊 44
洛阳 曹仁 71
洛阳 曹洪 64
洛阳 豫州 11
洛阳 兖州 55
洛阳 北海 19
洛阳 孔融 33
洛阳 广陵 8
洛阳 徐州 153
洛阳 陶谦 28
洛阳 马腾 11
洛阳 乌程侯 8
洛阳 长沙 21
洛阳 孙坚 209
洛阳 绍 44
洛阳 文台 17
洛阳 零陵 4
洛阳 程普 51
洛阳 坚 77
洛阳 祖茂 24
洛阳 黄盖 43
洛阳 韩当 19
洛阳 关云长 10
洛阳 长安 221
洛阳 李典 43
洛阳 荥阳 48
洛阳 刘表 74
洛阳 山阳高平 13
洛阳 蒯良 13
洛阳 蒯越 52
洛阳 襄阳 53
洛阳 蔡瑁 52
洛阳 田楷 6
洛阳 曹孟德 9
洛阳 太史慈 9
洛阳 子龙 24
洛阳 于禁 17
洛阳 郭嘉 11
洛阳 张燕 5
洛阳 常山 6
洛阳 荀彧 42
洛阳 程昱 13
洛阳 寿春 42
洛阳 赵云 48
洛阳 文远 4
洛阳 张辽 16
洛阳 毛玠 9
洛阳 吕虔 10
洛阳 典韦 27
洛阳 曹贼 12
洛阳 贾诩 41
洛阳 徐晃 166
洛阳 安邑 15
