Source Target Weight
飞将 刘焉 7
飞将 刘备 120
飞将 翼德 4
飞将 云长 15
飞将 张飞 28
飞将 关公 76
飞将 操 4
飞将 曹操 27
飞将 张辽 4
飞将 简雍 9
飞将 皇叔 4
飞将 刘表 4
飞将 关平 5
飞将 周瑜 13
飞将 孔明 16
飞将 公瑾 10
飞将 孙权 8
飞将 鲁肃 13
飞将 凤雏 4
飞将 庞统 7
飞将 马腾 21
飞将 马岱 6
飞将 马休 4
刘焉 飞将 7
刘焉 刘备 344
刘焉 郑玄 7
刘焉 公孙瓒 8
刘焉 翼德 21
刘焉 云长 49
刘焉 张飞 56
刘焉 关羽 14
刘焉 关公 14
刘焉 孟德 7
刘焉 阿瞒 7
刘焉 操 21
刘焉 曹操 8
刘焉 卓 7
刘焉 司马炎 6
刘焉 孙皓 11
刘焉 陆抗 8
刘焉 贾充 5
刘焉 羊祜 11
刘焉 杜预 17
刘备 飞将 120
刘备 刘焉 344
刘备 郑玄 151
刘备 公孙瓒 926
刘备 翼德 1334
刘备 云长 9160
刘备 张飞 12767
刘备 关羽 266
刘备 关公 8255
刘备 孟德 106
刘备 阿瞒 54
刘备 操 3979
刘备 曹操 20427
刘备 卓 75
刘备 仲颖 45
刘备 文台 79
刘备 坚 171
刘备 孙坚 570
刘备 刘陶 135
刘备 乌程侯 68
刘备 刘虞 135
刘备 董太后 405
刘备 绍 683
刘备 荀攸 565
刘备 陈留王 46
刘备 陈琳 181
刘备 夏侯渊 1350
刘备 曹仁 2626
刘备 曹洪 1395
刘备 孔融 1500
刘备 陶谦 776
刘备 马腾 1133
刘备 李儒 90
刘备 奉先 253
刘备 程普 1023
刘备 祖茂 132
刘备 黄盖 594
刘备 韩当 671
刘备 关云长 854
刘备 李典 1872
刘备 刘表 3207
刘备 蒯良 160
刘备 蒯越 385
刘备 蔡瑁 2931
刘备 公孙越 16
刘备 策 458
刘备 子龙 1567
刘备 赵云 6506
刘备 严纲 24
刘备 黄祖 1096
刘备 伯符 92
刘备 仲谋 29
刘备 孙策 1534
刘备 张虎 33
刘备 吕公 72
刘备 桓阶 58
刘备 田楷 276
刘备 曹孟德 94
刘备 太史慈 1394
刘备 张闿 92
刘备 赵子龙 770
刘备 于禁 1815
刘备 郭嘉 725
刘备 张燕 233
刘备 荀彧 1570
刘备 程昱 1257
刘备 文远 375
刘备 臧霸 340
刘备 张辽 2434
刘备 毛玠 236
刘备 吕虔 299
