Source Target Weight
洛阳 江夏 17
洛阳 涿郡 7
洛阳 白马 5
洛阳 青州 15
洛阳 广宗 11
洛阳 南阳 66
洛阳 汝南 34
洛阳 荆州 138
洛阳 冀州 18
洛阳 东郡 23
洛阳 阳平 4
洛阳 巨鹿 4
洛阳 豫州 11
洛阳 兖州 55
洛阳 北海 19
洛阳 广陵 8
洛阳 徐州 153
洛阳 长沙 21
洛阳 零陵 4
洛阳 长安 221
洛阳 荥阳 48
洛阳 山阳高平 13
洛阳 襄阳 53
洛阳 常山 6
洛阳 寿春 42
洛阳 安邑 15
洛阳 东平 8
洛阳 南郡 22
洛阳 五丈原 4
洛阳 许昌 28
洛阳 夏口 13
洛阳 公安 10
洛阳 成都 180
洛阳 麦城 20
洛阳 上庸 42
洛阳 当阳 5
洛阳 建业 27
洛阳 金城 26
洛阳 宛城 33
洛阳 邺城 6
洛阳 邺郡 6
洛阳 白帝城 6
洛阳 阳平关 17
洛阳 陈仓 38
洛阳 天水 21
洛阳 南安 46
洛阳 上邽 37
洛阳 祁山 138
洛阳 新城 57
洛阳 南郑 18
洛阳 斜谷 46
洛阳 街亭 30
洛阳 箕谷 29
洛阳 建威 12
洛阳 皖城 8
洛阳 江陵 20
洛阳 陇西 28
洛阳 散关 6
洛阳 木门 12
洛阳 巴丘 16
洛阳 南顿 15
洛阳 狄道 9
洛阳 钟提 12
洛阳 段谷 15
洛阳 江油 12
洛阳 绵竹 17
江夏 洛阳 17
江夏 涿郡 6
江夏 白马 11
江夏 青州 25
江夏 广宗 4
江夏 南阳 13
江夏 汝南 18
江夏 陇西 5
江夏 冀州 25
江夏 宛城 19
江夏 许昌 43
江夏 下邳 9
江夏 长沙 16
江夏 长安 12
江夏 荆州 456
江夏 兖州 8
江夏 山阳高平 9
江夏 襄阳 207
江夏 常山 13
江夏 安众 8
江夏 徐州 4
江夏 零陵 16
江夏 邺郡 5
江夏 新野 251
江夏 隆中 16
江夏 豫州 76
江夏 五丈原 7
江夏 吴郡 4
江夏 夏口 130
江夏 柴桑 29
江夏 北海 8
江夏 官渡 8
江夏 江陵 107
江夏 当阳 47
江夏 苍梧 12
江夏 樊口 4
江夏 南郡 15
江夏 桂阳 10
江夏 赤壁 4
江夏 公安 4
江夏 阳平关 12
江夏 南郑 8
江夏 皖城 18
江夏 祁山 17
江夏 斜谷 4
涿郡 洛阳 7
涿郡 江夏 6
涿郡 青州 13
涿郡 广宗 12
涿郡 南阳 7
涿郡 汝南 4
涿郡 冀州 4
涿郡 徐州 11
涿郡 黎阳 6
涿郡 兖州 4
涿郡 荆州 22
涿郡 夏口 5
涿郡 阆中 7
白马 洛阳 5
白马 江夏 11
白马 青州 5
白马 广宗 4
白马 南阳 7
白马 汝南 7
白马 冀州 55
白马 常山 11
白马 长安 6
白马 荆州 70
白马 襄阳 29
白马 下邳 26
白马 徐州 10
白马 许昌 21
白马 当阳 9
白马 乌林 6
白马 南郡 8
白马 华容道 7
白马 赤壁 4
白马 成都 8
白马 南郑 4
白马 南安 18
白马 天水 12
白马 安定 17
白马 寿春 8
白马 南顿 5
白马 兖州 4
青州 洛阳 15
青州 江夏 25
青州 涿郡 13
青州 白马 5
青州 广宗 16
青州 南阳 9
青州 汝南 38
青州 长安 10
青州 东郡 7
青州 兖州 73
青州 徐州 208
青州 北海 44
青州 广陵 9
青州 常山 10
青州 寿春 17
青州 豫州 30
青州 宛城 10
青州 冀州 114
青州 黎阳 26
青州 荆州 54
青州 官渡 26
青州 下邳 14
青州 许昌 12
青州 阳平 6
青州 柳城 6
青州 新野 16
青州 襄阳 34
青州 江陵 31
青州 隆中 4
青州 当阳 8
青州 南顿 5
广宗 洛阳 11
广宗 江夏 4
广宗 涿郡 12
广宗 白马 4
广宗 青州 16
广宗 南阳 5
广宗 汝南 4
南阳 洛阳 66
南阳 江夏 13
南阳 涿郡 7
南阳 白马 7
南阳 青州 9
南阳 广宗 5
南阳 汝南 12
南阳 陇西 6
南阳 冀州 20
南阳 宛城 11
南阳 会稽 6
南阳 许昌 45
南阳 下邳 7
南阳 长沙 6
南阳 长安 38
南阳 荥阳 7
南阳 荆州 73
南阳 兖州 4
南阳 东郡 5
南阳 襄阳 31
南阳 徐州 54
南阳 南郡 8
南阳 寿春 10
南阳 豫州 14
南阳 江陵 7
南阳 官渡 15
南阳 乌巢 18
南阳 邺郡 5
南阳 新野 31
南阳 隆中 12
南阳 五丈原 6
南阳 吴郡 6
南阳 夏口 17
南阳 柴桑 4
南阳 桂阳 10
南阳 零陵 7
南阳 巴丘 9
南阳 公安 5
南阳 成都 34
南阳 麦城 5
南阳 上庸 12
南阳 陈仓 9
南阳 祁山 19
南阳 新城 9
南阳 金城 4
南阳 街亭 4
南阳 斜谷 8
南阳 箕谷 6
南阳 南郑 4
南阳 江油 8
南阳 绵竹 5
南阳 建业 5
汝南 洛阳 34
汝南 江夏 18
汝南 涿郡 4
汝南 白马 7
汝南 青州 38
汝南 广宗 4
汝南 南阳 12
汝南 长安 9
汝南 荥阳 21
汝南 荆州 86
汝南 兖州 12
汝南 襄阳 7
汝南 黎阳 10
汝南 徐州 62
