Source Target Weight
魏文帝 曹丕 44
魏文帝 曹操 32
魏文帝 曹植 9
魏文帝 贾诩 6
魏文帝 孙权 9
魏文帝 辛毗 4
魏文帝 曹休 4
魏文帝 曹睿 7
魏文帝 司马懿 12
魏文帝 曹爽 6
曹丕 魏文帝 44
曹丕 曹仁 20
曹丕 曹操 370
曹丕 孙权 244
曹丕 张辽 44
曹丕 孙策 4
曹丕 甘宁 7
曹丕 凌统 6
曹丕 吕蒙 10
曹丕 曹休 40
曹丕 曹昂 12
曹丕 曹彰 21
曹丕 曹植 90
曹丕 曹熊 11
曹丕 曹子建 11
曹丕 杨修 11
曹丕 崔琰 11
曹丕 贾诩 66
曹丕 刘表 11
曹丕 吴质 11
曹丕 关羽 57
曹丕 刘备 131
曹丕 曹睿 134
曹丕 曹真 35
曹丕 司马懿 128
曹丕 诸葛亮 43
曹丕 陈群 23
曹丕 张昭 7
曹丕 刘晔 83
曹丕 于禁 27
曹丕 张既 10
曹丕 徐盛 32
曹丕 鲁肃 5
曹丕 孙登 7
曹丕 陆逊 35
曹丕 黄权 7
曹丕 马良 4
曹丕 朱然 5
曹丕 潘璋 10
曹丕 晋武帝 10
曹丕 司马炎 15
曹丕 杨骏 9
曹丕 辛毗 31
曹丕 桓阶 15
曹丕 徐晃 15
曹丕 吕范 18
曹丕 诸葛瑾 15
曹丕 董昭 27
曹丕 臧霸 18
曹丕 蒋济 12
曹丕 刘禅 4
曹丕 平原王 4
曹丕 魏明帝 13
曹丕 曹洪 8
曹丕 文聘 12
曹丕 孙资 5
曹丕 孟达 78
曹丕 刘封 6
曹丕 夏侯尚 12
曹丕 卫觊 5
曹丕 杨阜 7
曹丕 曹爽 27
曹丕 邓艾 7
曹丕 王凌 14
刘焉 曹操 41
刘焉 陶谦 5
刘焉 刘备 19
刘焉 刘璋 20
刘焉 张鲁 16
刘焉 马腾 4
刘焉 刘瑁 5
刘焉 张松 6
刘焉 法正 9
刘焉 诸葛亮 15
刘焉 曹植 4
刘虞 曹操 23
刘虞 曹植 4
陈琳 曹操 12
曹操 陈琳 12
曹操 刘备 1442
曹操 孙坚 11
曹操 荀攸 82
曹操 魏武帝 23
曹操 曹洪 81
曹操 刘虞 23
曹操 刘表 409
曹操 陈寿 24
曹操 钟繇 101
曹操 陶谦 184
曹操 荀彧 333
曹操 公孙瓒 74
曹操 田楷 10
曹操 程昱 38
曹操 邓艾 64
曹操 刘焉 41
曹操 孙策 124
曹操 孔融 104
曹操 曹孟德 17
曹操 贾诩 273
曹操 马腾 115
曹操 韩遂 321
曹操 董昭 50
曹操 任峻 7
曹操 司马懿 152
曹操 张飞 61
曹操 曹昂 32
曹操 典韦 8
曹操 郭嘉 45
曹操 钟会 42
曹操 于禁 65
曹操 张辽 84
曹操 刘璋 209
曹操 张昭 73
曹操 杨阜 21
曹操 卫觊 23
曹操 韩嵩 109
曹操 刘先 10
曹操 蒯越 34
曹操 刘琮 102
曹操 车胄 7
曹操 关羽 460
曹操 马超 273
曹操 杨秋 11
曹操 虞翻 11
曹操 孙权 879
曹操 周瑜 253
曹操 李通 30
曹操 曹仁 182
曹操 张纮 9
曹操 桓阶 4
曹操 鲁肃 173
曹操 黄祖 21
曹操 麋竺 5
曹操 夏侯渊 144
曹操 庞德 45
曹操 李典 14
曹操 辛毗 47
曹操 蹋顿 8
曹操 公孙康 14
曹操 司马徽 8
曹操 诸葛亮 180
曹操 庞统 11
曹操 徐庶 24
曹操 张鲁 262
曹操 甘宁 37
曹操 凌统 7
曹操 吕蒙 169
曹操 崔琰 157
曹操 毛玠 21
曹操 晋宣帝 6
曹操 张既 4
曹操 刘琦 25
曹操 赵云 70
曹操 文聘 16
曹操 吴巨 18
曹操 程普 24
曹操 黄盖 70
曹操 徐晃 107
曹操 陆逊 67
曹操 蒋济 5
曹操 蒋干 8
曹操 曹植 203
曹操 孙瑜 23
曹操 阎行 22
曹操 高柔 10
曹操 李堪 6
曹操 成宜 6
曹操 梁兴 18
曹操 侯选 10
曹操 程银 10
曹操 曹丕 370
曹操 朱灵 29
曹操 许褚 79
曹操 张郃 13
曹操 刘瑁 14
曹操 张松 95
曹操 法正 61
曹操 黄权 28
曹操 王累 14
曹操 郑浑 4
曹操 陈群 53
曹操 杜袭 10
曹操 赵俨 12
曹操 杨怀 6
曹操 高沛 6
曹操 张任 4
曹操 吴懿 4
曹操 杨昂 22
曹操 姜叙 13
曹操 刘巴 24
曹操 刘禅 16
曹操 诸葛瑾 12
曹操 张卫 38
曹操 刘晔 60
曹操 阎圃 20
曹操 曹休 12
曹操 周泰 35
曹操 朱然 7
曹操 徐盛 11
曹操 司马朗 11
曹操 王粲 11
曹操 曹彰 51
曹操 曹熊 21
曹操 曹子建 21
曹操 杨修 21
曹操 吴质 21
曹操 魏文帝 32
曹操 黄忠 40
曹操 杨洪 4
曹操 郭淮 5
曹操 曹真 42
曹操 孟达 13
曹操 刘封 12
曹操 何晏 8
曹操 魏延 18
曹操 温恢 5
曹操 满宠 36
